star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD6735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD67458,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD68168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD68978,56413.480466940084,56453.5274903761,72514.28773555013,72550.76750814905,12439.811994857491,12454.564415735153,272166.33748991444,739526.8057424314,704352.9330305889,756896.2473894517,52538.65986366571,126981.38133997661,444545.1146416947,721221.4093821894,nan,276670.1383404744,611979.7819102425,335302.2329589948,441991.53375089244,118219.9146292976
HD69655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD69830,56376.20382867198,56419.1785739738,72506.5062420201,72527.30731397908,12546.008818705881,12559.345865323006,272187.0900153659,739572.4386994066,704392.9241687332,756938.932817651,52543.344940209194,126887.06542901101,444472.9677602567,721197.0194666678,317585.02310102736,276723.01079725486,612048.0367618417,335324.70387647115,442051.6424890252,118188.81085525284
HD70642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD70889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD7134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD72769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD73256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD73524,56454.79720813788,56480.16696773282,72497.48525555118,72506.56539027551,12490.031447793552,12469.415024696787,272170.61089830054,739527.1693508435,704341.431766358,756882.762940094,52542.046476844596,127041.62746493152,444600.0777574282,721218.0259513857,317558.82340171287,276617.6560709509,611918.0880780414,335296.7900948574,441996.54717884626,118259.5288543902
HD7449,56397.66900140234,56421.653070224835,72542.08658578327,72560.80348524699,12546.331062720636,12414.537661084592,272153.89382796467,739516.4330491549,704266.6067718012,756818.8167363656,52551.622852176566,126936.78090666862,444501.24399032036,721202.5348936872,317557.5736662077,276697.79398781795,611988.7015071046,335290.58861585794,441950.90937672777,118240.76009381111
HD76151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD78429,56409.88200439124,56433.58117540003,72509.330033792,72508.80755689877,12509.439906561876,12511.60818429031,272197.1351158594,739554.045268841,704360.1836251327,756901.4516253155,52542.44819837942,127010.94143679898,444570.65349466813,721214.8289233275,317561.3449604417,276645.1389124887,611949.4674376165,335303.8849271554,442038.9769715186,118223.35334071598
HD78558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD78660,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD82943,56446.97470614882,56477.464065977154,72519.08787349169,72517.5418599645,12499.883023788343,12494.670620253693,272168.9253981088,739532.0720056307,704383.2740430998,756910.1773434273,52534.53839469449,127044.1928470543,444615.2521906422,721235.2714512201,317567.8857605778,276621.4379296611,611917.6507110734,335295.40061958146,441999.41788527323,118268.98152538335
HD83529,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD88742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD90156,56382.38648601891,56426.26476009465,72507.58356358952,72512.7719861197,12513.047624823961,12524.782268574649,272222.70431122114,739563.0319300262,704346.8870547748,756900.4496923357,52554.03609985068,126914.41144270725,444478.94157578767,721194.1131368853,317574.713832801,276712.45345166884,612038.5053753356,335323.2820293229,442042.1246625969,118187.87611578293
